timestamp,action,goal,time_delta,correct,voltage,current,power,cumpower,,prediction time,energy consumed,accuracy
1542186558,swing,swing,5.039654493,TRUE,5.09,0.32,1.63,167.92,,4.981302732,313.17,38
1542186563,turnclap,turnclap,5.010907173,TRUE,5.09,0.32,1.63,175.65,,,,
1542186567,sidestep,sidestep,4.784602404,TRUE,5.09,0.32,1.63,183.44,,,,
1542186572,numbersix,numbersix,4.83274889,TRUE,5.09,0.32,1.62,191.26,,,,
1542186577,cowboy,cowboy,4.668170691,TRUE,5.09,0.32,1.64,199.03,,,,
1542186582,chicken,chicken,4.770748854,TRUE,5.08,0.32,1.62,206.77,,,,
1542186587,wipers,wipers,4.981157541,TRUE,5.08,0.32,1.63,214.6,,,,
1542186591,chicken,chicken,4.561705112,TRUE,5.08,0.32,1.63,222.29,,,,
1542186596,wipers,wipers,4.752695322,TRUE,5.08,0.32,1.63,229.92,,,,
1542186601,number7,number7,4.823894978,TRUE,5.08,0.32,1.63,237.69,,,,
1542186606,cowboy,cowboy,4.847088814,TRUE,5.08,0.32,1.63,245.54,,,,
1542186611,sidestep,sidestep,4.80442214,TRUE,5.08,0.32,1.62,253.3,,,,
1542186616,salute,number7,5.047617674,FALSE,5.08,0.32,1.62,261.02,,,,
1542186620,mermaid,mermaid,4.530496359,TRUE,5.08,0.32,1.61,268.76,,,,
1542186625,wipers,wipers,5.025178432,TRUE,5.08,0.32,1.63,276.51,,,,
1542186630,turnclap,turnclap,4.673122406,TRUE,5.08,0.32,1.63,284.36,,,,
1542186635,mermaid,mermaid,4.753563643,TRUE,5.08,0.32,1.62,292.09,,,,
1542186639,mermaid,mermaid,4.699492216,TRUE,5.08,0.32,1.62,299.66,,,,
1542186644,wipers,wipers,4.797275066,TRUE,5.08,0.32,1.63,307.37,,,,
1542186649,swing,swing,4.774796724,TRUE,5.08,0.32,1.62,315.11,,,,
1542186654,turnclap,turnclap,5.007247686,TRUE,5.08,0.32,1.63,322.82,,,,
1542186659,mermaid,mermaid,4.557688713,TRUE,5.08,0.32,1.61,330.48,,,,
1542186663,cowboy,cowboy,4.804265261,TRUE,5.08,0.32,1.63,338.18,,,,
1542186668,turnclap,turnclap,4.894933462,TRUE,5.08,0.32,1.63,346.04,,,,
1542186673,salute,salute,4.869894743,TRUE,5.08,0.32,1.64,353.91,,,,
1542186678,sidestep,sidestep,4.853614807,TRUE,5.07,0.32,1.61,361.71,,,,
1542186683,cowboy,cowboy,4.992529392,TRUE,5.08,0.32,1.64,369.45,,,,
1542186688,salute,salute,4.651402473,TRUE,5.07,0.32,1.62,377.25,,,,
1542186695,salute,number7,6.957371473,FALSE,5.07,0.32,1.62,388.19,,,,
1542186699,numbersix,numbersix,4.627912283,TRUE,5.07,0.32,1.63,395.92,,,,
1542186704,sidestep,sidestep,5.008816242,TRUE,5.07,0.32,1.62,403.66,,,,
1542186709,numbersix,numbersix,4.827495575,TRUE,5.07,0.32,1.62,411.55,,,,
1542186714,swing,swing,4.543422461,TRUE,5.07,0.32,1.62,419.24,,,,
1542186718,swing,swing,4.701176167,TRUE,5.07,0.32,1.63,426.79,,,,
1542186723,chicken,chicken,4.574017048,TRUE,5.07,0.32,1.62,434.32,,,,
1542186728,salute,salute,4.772406578,TRUE,5.07,0.32,1.64,441.99,,,,
1542186733,numbersix,numbersix,4.819309235,TRUE,5.07,0.32,1.61,449.73,,,,
1542186737,chicken,chicken,4.780411482,TRUE,5.07,0.32,1.63,457.43,,,,
1542186747,number7,number7,9.736875772,TRUE,5.07,0.32,1.62,473.26,,,,
1542186752,salute,salute,5.091979504,TRUE,5.07,0.32,1.62,481.09,,,,
