timestamp,action,goal,time_delta,correct,voltage,current,power,cumpower
1542171454.164053,cowboy,cowboy,14.151111364364624,True,4.75,0.24,1.16,179.77
1542171462.3950167,numbersix,numbersix,8.219587564468384,True,4.59,0.24,1.12,189.32
1542171471.2936826,wipers,wipers,8.888723850250244,True,4.57,0.25,1.15,199.02
1542171479.8684025,mermaid,mermaid,8.558666706085205,True,4.58,0.24,1.13,208.59
1542171488.3220284,chicken,chicken,8.441961526870728,True,4.59,0.24,1.13,218.22
1542171548.334542,None,mermaid,60.0025475025177,False,0,0,0,0
1542171570.7890618,mermaid,sidestep,22.443551063537598,False,4.6,0.25,1.14,227.24
1542171630.8044014,None,cowboy,60.004133224487305,False,0,0,0,0
1542172388.9946518,sidestep,turnclap,8.450318574905396,False,4.31,0.17,0.73,50.05
1542172394.0711846,sidestep,sidestep,5.059106826782227,True,4.32,0.17,0.73,53.77
1542172399.2516067,sidestep,swing,5.163478374481201,False,4.37,0.17,0.73,57.5
1542172404.4332108,sidestep,wipers,5.155405044555664,False,4.32,0.17,0.73,61.26
1542172409.6075594,sidestep,mermaid,5.158411502838135,False,4.39,0.17,0.73,65.02
1542172415.0202742,sidestep,mermaid,5.390892267227173,False,4.38,0.17,0.73,68.78
1542172419.9678707,sidestep,swing,4.936627149581909,False,4.33,0.17,0.72,72.62
1542172425.3781185,sidestep,swing,5.402286052703857,False,4.33,0.17,0.75,76.35
1542172430.3463874,sidestep,chicken,4.95241379737854,False,4.32,0.17,0.73,80.09
1542172435.5087788,sidestep,wipers,5.150445938110352,False,4.39,0.17,0.73,83.81
1542172440.6896963,sidestep,salute,5.162966251373291,False,4.4,0.17,0.73,87.62
1542172445.8697362,sidestep,chicken,5.162292242050171,False,4.4,0.17,0.73,91.37
1542172451.0500932,sidestep,number7,5.169400215148926,False,2.5,0.17,0.42,94.88
1542172456.436456,sidestep,sidestep,5.362438678741455,True,1.42,0.17,0.24,96.58
1542172461.6306143,sidestep,number7,5.182225465774536,False,1.76,0.17,0.3,98.27
1542172466.5873933,sidestep,mermaid,4.9453818798065186,False,3.49,0.17,0.59,100.19
1542172471.7690308,sidestep,turnclap,5.171637058258057,False,4.73,0.17,0.8,104.17
1542172476.940643,sidestep,mermaid,5.160616159439087,False,4.73,0.17,0.8,108.31
1542172482.1220968,sidestep,cowboy,5.161545515060425,False,4.72,0.17,0.8,112.43
1542172487.3006966,sidestep,swing,5.162136077880859,False,4.72,0.17,0.82,116.55
1542172492.4813864,sidestep,chicken,5.1697609424591064,False,4.73,0.17,0.8,120.69
1542172497.6772177,sidestep,turnclap,5.185372829437256,False,4.73,0.17,0.8,124.8
1542172503.0990372,sidestep,numbersix,5.4107561111450195,False,4.75,0.17,0.8,128.93
1542172508.0375698,sidestep,number7,4.911340236663818,False,4.76,0.17,0.8,133.16
1542172513.2241378,sidestep,sidestep,5.176594257354736,True,4.99,0.23,1.14,137.76
1542172518.4012246,sidestep,cowboy,5.166155576705933,False,5.01,0.24,1.19,143.88
1542172523.5887966,sidestep,chicken,5.176891088485718,False,5.01,0.23,1.18,149.99
1542172528.7971842,sidestep,cowboy,5.192405939102173,False,5.01,0.24,1.2,156.08
1542172534.197265,sidestep,numbersix,5.389089107513428,False,5.01,0.24,1.19,162.3
1542172539.3693194,sidestep,cowboy,5.160651683807373,False,5.01,0.24,1.19,168.47
1542172544.555174,sidestep,numbersix,5.166870594024658,False,5.01,0.23,1.18,174.62
1542172549.7721803,sidestep,wipers,5.1980390548706055,False,4.92,0.19,0.93,180.37
1542172554.695013,sidestep,salute,4.9108686447143555,False,4.88,0.16,0.79,184.5
1542172559.912526,sidestep,sidestep,5.206456661224365,True,5.0,0.22,1.12,189.07
1542172565.0543268,sidestep,salute,5.124028921127319,False,5.01,0.23,1.15,195.01
1542172570.2349253,sidestep,wipers,5.169524669647217,False,5.01,0.23,1.15,200.92
1542172575.432006,sidestep,turnclap,5.182337284088135,False,5.02,0.23,1.16,206.89
1542172580.6128354,sidestep,salute,5.169878959655762,False,5.01,0.23,1.17,212.96
1542172586.0181942,sidestep,number7,5.394459009170532,False,5.02,0.23,1.17,219.01
1542172590.988582,sidestep,numbersix,4.959277629852295,False,5.02,0.23,1.17,225.04
1542172596.1697445,sidestep,cowboy,5.171202182769775,False,5.02,0.23,1.17,231.1
1542172601.6238036,sidestep,cowboy,5.445082902908325,False,5.02,0.23,1.17,237.19
1542172606.5495546,sidestep,cowboy,4.9147820472717285,False,5.01,0.24,1.19,243.38
1542172666.563183,None,cowboy,60.002620458602905,False,0,0,0,0
1542172833.4686913,turnclap,turnclap,13.183656692504883,True,4.78,0.31,1.48,107.26
1542172842.1363368,sidestep,sidestep,8.652004480361938,True,4.79,0.3,1.45,119.56
1542172853.192978,cowboy,cowboy,11.035533905029297,True,4.77,0.3,1.44,135.85
1542172861.564013,sidestep,sidestep,8.360066652297974,True,4.77,0.3,1.45,147.88
1542172870.6614468,chicken,chicken,9.08646273612976,True,4.78,0.3,1.45,160.14
1542172878.7337751,turnclap,turnclap,8.06139874458313,True,4.76,0.3,1.44,172.44
1542172887.321427,sidestep,sidestep,8.577732563018799,True,4.75,0.3,1.44,184.56
1542172892.896518,turnclap,turnclap,5.560102701187134,True,4.74,0.3,1.44,192.67
1542172898.865509,number7,number7,5.947091341018677,True,4.75,0.3,1.44,200.89
1542172907.4642751,mermaid,mermaid,8.580821990966797,True,4.75,0.31,1.47,213.27
1542172915.9051056,numbersix,numbersix,8.42887258529663,True,4.76,0.3,1.45,225.66
1542172924.7694914,number7,number7,8.853868961334229,True,4.76,0.3,1.44,238.11
1542172933.2186737,cowboy,cowboy,8.439253091812134,True,4.77,0.3,1.45,250.56
1542172941.9881253,swing,swing,8.74655294418335,True,4.77,0.3,1.44,262.84
1542172947.4445567,mermaid,mermaid,5.445436000823975,True,4.77,0.3,1.44,270.93
1542172955.8968656,swing,swing,8.430368185043335,True,4.78,0.3,1.44,283.13
1542172961.555705,mermaid,mermaid,5.647878646850586,True,4.78,0.3,1.44,291.23
1542172970.054832,swing,swing,8.475320100784302,True,4.78,0.3,1.45,303.38
1542172975.8044784,turnclap,turnclap,5.73797607421875,True,4.79,0.3,1.44,311.66
1542172984.441423,wipers,wipers,8.6151602268219,True,4.79,0.3,1.45,324.11
1542172990.255332,numbersix,numbersix,5.797922134399414,True,4.79,0.3,1.44,332.49
1542172998.9212434,salute,salute,8.654625177383423,True,4.78,0.3,1.44,345.02
1542173007.7315876,cowboy,cowboy,8.799339294433594,True,4.76,0.3,1.44,357.51
