timestamp,action,goal,time_delta,correct,voltage,current,power,cumpower,,,prediction time,energy consumed,accuracy
1542187542,number7,number7,5.674012423,TRUE,5.1,0.38,1.93,139.36,,,3.680245602,278.55,38
1542187545,salute,salute,3.6123209,TRUE,5.11,0.4,2.06,146.53,,,,,
1542187549,swing,swing,3.598506451,TRUE,5.1,0.38,1.94,153.7,,,,,
1542187553,mermaid,mermaid,3.698305845,TRUE,5.1,0.38,1.93,160.8,,,,,
1542187556,numbersix,numbersix,3.53565979,TRUE,5.1,0.38,1.94,167.87,,,,,
1542187560,cowboy,cowboy,3.620559692,TRUE,5.11,0.38,1.93,174.96,,,,,
1542187563,numbersix,numbersix,3.60599947,TRUE,5.11,0.38,1.94,182.07,,,,,
1542187567,swing,swing,3.619354248,TRUE,5.11,0.38,1.94,189.18,,,,,
1542187571,salute,salute,3.613682747,TRUE,5.11,0.38,1.94,196.3,,,,,
1542187574,swing,swing,3.61727047,TRUE,5.11,0.38,1.93,203.41,,,,,
1542187578,turnclap,turnclap,3.615178585,TRUE,5.1,0.38,1.93,210.5,,,,,
1542187582,salute,number7,3.617949963,FALSE,4.94,0.39,1.9,217.6,,,,,
1542187586,salute,number7,4.343209505,FALSE,5.09,0.38,1.96,225.73,,,,,
1542187589,turnclap,turnclap,3.419782162,TRUE,5.09,0.38,1.92,232.8,,,,,
1542187593,cowboy,cowboy,3.602016211,TRUE,5.09,0.38,1.95,239.81,,,,,
1542187597,numbersix,numbersix,3.615648746,TRUE,5.1,0.38,1.95,246.95,,,,,
1542187600,sidestep,sidestep,3.615990877,TRUE,5.1,0.38,1.94,254.09,,,,,
1542187604,mermaid,mermaid,3.616371632,TRUE,5.1,0.38,1.95,261.22,,,,,
1542187607,cowboy,cowboy,3.613516331,TRUE,5.1,0.38,1.95,268.44,,,,,
1542187611,wipers,wipers,3.818190098,TRUE,5.1,0.38,1.95,275.54,,,,,
1542187615,mermaid,mermaid,3.572574615,TRUE,5.1,0.38,1.96,282.66,,,,,
1542187618,chicken,chicken,3.492648602,TRUE,5.1,0.38,1.95,289.81,,,,,
1542187622,wipers,wipers,3.585293055,TRUE,5.1,0.38,1.95,296.94,,,,,
1542187626,cowboy,cowboy,3.618097067,TRUE,5.1,0.38,1.93,304.04,,,,,
1542187629,salute,number7,3.616349697,FALSE,5.1,0.39,1.96,311.15,,,,,
1542187633,wipers,wipers,3.639698505,TRUE,5.1,0.38,1.93,318.25,,,,,
1542187636,turnclap,turnclap,3.595502138,TRUE,5.1,0.38,1.95,325.36,,,,,
1542187640,sidestep,sidestep,3.617348194,TRUE,5.1,0.38,1.94,332.48,,,,,
1542187644,mermaid,mermaid,3.617328644,TRUE,5.1,0.38,1.94,339.59,,,,,
1542187647,sidestep,sidestep,3.623090506,TRUE,5.1,0.38,1.94,346.69,,,,,
1542187651,sidestep,sidestep,3.613870621,TRUE,5.1,0.38,1.94,353.81,,,,,
1542187655,salute,salute,3.605203867,TRUE,5.1,0.38,1.95,360.89,,,,,
1542187658,numbersix,numbersix,3.615248442,TRUE,5.1,0.38,1.94,368.01,,,,,
1542187662,chicken,chicken,3.61403656,TRUE,5.1,0.38,1.94,375.11,,,,,
1542187665,chicken,chicken,3.619341612,TRUE,5.1,0.39,1.97,382.31,,,,,
1542187669,salute,salute,3.813084126,TRUE,5.1,0.38,1.95,389.44,,,,,
1542187673,chicken,chicken,3.425767899,TRUE,5.1,0.38,1.94,396.58,,,,,
1542187676,turnclap,turnclap,3.616980076,TRUE,5.1,0.38,1.94,403.69,,,,,
1542187680,wipers,wipers,3.612892389,TRUE,5.1,0.38,1.93,410.8,,,,,
1542187684,swing,swing,3.621941328,TRUE,5.1,0.38,1.94,417.91,,,,,
